epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.3374,1.17002,0.53125,1,0.97148,0.00010003,0.00010003,0.00010003
2,6.54975,0.72726,0.5,1,0.87671,0.000210106,0.000210106,0.000210106
3,9.46446,0.47762,0.5,1,0.79869,0.000315655,0.000315655,0.000315655
4,12.2042,0.34403,0.5,1,0.58486,0.000416676,0.000416676,0.000416676
5,15.3383,0.25612,0.9375,1,0.30033,0.000513171,0.000513171,0.000513171
6,19.197,0.20884,0.96875,1,0.12776,0.000605139,0.000605139,0.000605139
7,22.507,0.08759,0.96875,1,0.08538,0.000692579,0.000692579,0.000692579
8,26.4877,0.06082,0.96875,1,0.06285,0.000775493,0.000775493,0.000775493
9,30.1721,0.04882,0.96875,1,0.06114,0.000853879,0.000853879,0.000853879
10,33.732,0.03839,0.96875,1,0.06349,0.000927738,0.000927738,0.000927738
11,37.2403,0.03447,0.96875,1,0.0314,0.00099707,0.00099707,0.00099707
12,40.9618,0.02346,1,1,0.01077,0.00106188,0.00106188,0.00106188
13,44.2771,0.01305,1,1,0.00784,0.00108947,0.00108947,0.00108947
14,48.0736,0.02138,1,1,0.01408,0.00106118,0.00106118,0.00106118
15,51.7363,0.03724,1,1,0.01053,0.00103288,0.00103288,0.00103288
16,55.1134,0.00454,1,1,0.01556,0.00100459,0.00100459,0.00100459
17,58.9767,0.02465,1,1,0.01607,0.000976293,0.000976293,0.000976293
18,62.4015,0.00398,0.96875,1,0.0263,0.000947999,0.000947999,0.000947999
19,65.9351,0.01311,1,1,0.02093,0.000919704,0.000919704,0.000919704
20,69.5031,0.02001,1,1,0.0046,0.00089141,0.00089141,0.00089141
21,73.0929,0.00925,1,1,0.00032,0.000863116,0.000863116,0.000863116
22,77.5338,0.00704,1,1,0.0002,0.000834822,0.000834822,0.000834822
23,80.9745,0.00545,1,1,0.00015,0.000806528,0.000806528,0.000806528
24,84.5633,0.01178,1,1,0.00011,0.000778233,0.000778233,0.000778233
25,88.424,0.00605,1,1,0.00011,0.000749939,0.000749939,0.000749939
26,91.9669,0.00794,1,1,0.00011,0.000721645,0.000721645,0.000721645
27,95.6674,0.00225,1,1,0.00015,0.000693351,0.000693351,0.000693351
28,99.4545,0.00885,1,1,0.0001,0.000665057,0.000665057,0.000665057
29,103.026,0.00472,1,1,7e-05,0.000636762,0.000636762,0.000636762
30,106.725,0.00656,1,1,7e-05,0.000608468,0.000608468,0.000608468
31,110.285,0.00868,1,1,6e-05,0.000580174,0.000580174,0.000580174
32,114.006,0.03163,1,1,6e-05,0.00055188,0.00055188,0.00055188
33,117.542,0.00277,1,1,0.00014,0.000523586,0.000523586,0.000523586
34,121.337,0.00571,1,1,0.00022,0.000495291,0.000495291,0.000495291
35,125.16,0.00896,1,1,0.00023,0.000466997,0.000466997,0.000466997
36,128.718,0.03938,1,1,0.00026,0.000438703,0.000438703,0.000438703
37,133.41,0.02437,1,1,0.00033,0.000410409,0.000410409,0.000410409
38,137.188,0.05056,1,1,0.00057,0.000382115,0.000382115,0.000382115
39,140.709,0.00193,1,1,0.00054,0.00035382,0.00035382,0.00035382
40,144.353,0.00391,1,1,0.00051,0.000325526,0.000325526,0.000325526
41,147.955,0.00319,1,1,0.00055,0.000297232,0.000297232,0.000297232
42,151.651,0.00201,1,1,0.0007,0.000268938,0.000268938,0.000268938
43,155.201,0.00873,1,1,0.0007,0.000240644,0.000240644,0.000240644
44,159.056,0.01423,1,1,0.00059,0.000212349,0.000212349,0.000212349
45,162.678,0.00754,1,1,0.00057,0.000184055,0.000184055,0.000184055
46,166.652,0.00849,1,1,0.00055,0.000155761,0.000155761,0.000155761
47,170.229,0.00407,1,1,0.00068,0.000127467,0.000127467,0.000127467
48,174.1,0.00761,1,1,0.0006,9.91726e-05,9.91726e-05,9.91726e-05
49,177.804,0.00427,1,1,0.00058,7.08784e-05,7.08784e-05,7.08784e-05
50,181.563,0.0139,1,1,0.00044,4.25842e-05,4.25842e-05,4.25842e-05
